capital_invertido;provincia;gastos_por_prestamos;deudas_corto_plazo;patrimonio_empresa;total_activo;numero_empleados;ventas_netas;canal_principal;cantidad_canales_venta;vende_por_catalogo;vende_con_comisionistas;vende_a_domicilio;vende_en_linea;vende_en_ferias;vende_en_maquinas_venta;vende_en_tienda;otros_medios_venta;vende_por_telefono;publicidad;uso_de_software;sobrevive_2años
1155290;1501;796488;670695;2127778;2798473;92;2954442;2;1;False;False;True;False;False;False;False;False;False;False;True;True
1926500;1501;623541;491204;2459381;5167740;12;6318873;1;2;True;False;False;False;False;False;True;False;False;True;False;True
1198247;1501;849591;1730104;1375498;3105602;4;7844237;3;2;True;False;False;False;False;False;True;False;False;False;False;True
500;1501;259075;216666;4855232.25;6185497;61;2731214;1;1;False;False;False;False;False;False;True;False;False;True;True;True
241872;1501;272437;423452;2025552;2449004;8;8974287;5;2;False;False;False;False;False;False;True;False;True;False;False;True
1506118;1503;2060111;1014248;4562033;7070368;61;8322595;2;3;False;False;True;False;False;False;True;False;True;True;False;True
186832;1509;2497747.75;908153;4855232.25;6446597;16;7237854;9;0;False;False;False;False;False;False;False;False;False;False;False;True
186832;1509;2497747.75;407361;4855232.25;5973631;10;7566796;9;1;False;False;False;False;False;False;False;True;False;False;False;True
2;1501;634660;1081069;1513428;2594498;15;6168468;1;1;False;False;False;False;False;False;True;False;False;False;False;True
833177;1501;1266447;169159;1492101;1661260;3;6170068;1;0;False;False;False;False;False;False;False;False;False;True;False;True
665000;1503;585767;2226;3973690;3975916;33;4525200;5;3;False;True;False;True;False;False;False;False;True;False;False;True
1926500;1501;1654343;2847147;4747725;7594872;80;7457313;1;1;False;False;False;False;False;False;True;False;False;False;True;True
263553;1501;737048;2692232;1242752;3934984;15;7279613;1;1;False;False;False;False;False;False;True;False;False;True;False;True
254360;1510;646389;767167;4097167;4864334;30;5434460;1;2;False;False;False;False;False;False;True;False;True;False;False;True
250743;1501;695805;291929;21870;2745594;50;3676631;3;3;True;False;False;False;False;False;True;False;True;True;False;True
76520;1501;628479;0;4855232.25;7114188;100;667774;4;1;False;True;False;False;False;False;False;False;False;False;True;True
22059;1501;414364;411864;851446;2753934;17;5904614;4;1;False;True;False;False;False;False;False;False;False;True;True;True
35000;1509;2497747.75;430763;4855232.25;7427547;16;7243461;1;1;False;False;False;False;False;False;True;False;False;False;False;True
250000;1509;801673;5277181;1869644;10137014.5;27;3485537;1;1;False;False;False;False;False;False;True;False;False;True;False;True
16475;1501;1124408;3255733;2011406;5267139;11;4184747;6;2;False;False;False;True;False;False;True;False;False;False;False;False
580260;1501;1292380;156556;2768827;2925383;9;6575957;9;0;False;False;False;False;False;False;False;False;False;True;False;True
704306;1501;288994;0;1325851;1988562;43;2614865;1;1;False;False;False;False;False;False;True;False;False;False;True;True
0;1501;0;0;0;0;0;0;3;0;False;False;False;False;False;False;False;False;False;False;False;False
0;1501;0;0;0;0;0;0;3;0;False;False;False;False;False;False;False;False;False;True;False;False
1224470;1501;1703955;5277181;4855232.25;10137014.5;11;5468171;1;1;False;False;False;False;False;False;True;False;False;True;False;False
150000;1501;737747;361139;1054958;1441972;31;4652415;4;1;False;True;False;False;False;False;False;False;False;True;False;True
1926500;1503;807249;5277181;4855232.25;10137014.5;57;3019541;1;1;False;False;False;False;False;False;True;False;False;False;True;True
1000000;1507;451150;612095;1723459;2335554;20;5790853;1;1;False;False;False;False;False;False;True;False;False;False;False;True
1300110;1501;261601;5277181;4855232.25;10137014.5;6;2196658;1;1;False;False;False;False;False;False;True;False;False;True;True;True
1926500;1508;45144;2994301;3123678;6117979;18;781216;1;1;False;False;False;False;False;False;True;False;False;False;False;True
59707;1509;1345198;484474;2257749;2742223;18;6366889;9;0;False;False;False;False;False;False;False;False;False;True;False;True
60000;1501;0;1078588;-13312;1065276;9;0;1;1;False;False;False;False;False;False;True;False;False;False;False;False
10512;1501;877181;322276;2111964;2434240;11;7261392;1;2;False;False;False;False;False;False;True;False;True;True;False;True
295000;1507;2293705;1821895;1500957;3322852;35;3064869;1;1;False;False;False;False;False;False;True;False;False;True;True;True
1373840;1509;719690;0;4855232.25;10137014.5;99;6548254;1;1;False;False;False;False;False;False;True;False;False;False;False;True
1347731;1501;177227;1679397;1414396;3093793;16;2395305;1;1;False;False;False;False;False;False;True;False;False;True;False;True
1926500;1501;910232;4024660;4855232.25;9323085;9;8591120;1;1;False;False;False;False;False;False;True;False;False;False;False;True
26355;1505;788721;1048524;965769;2014293;50;7468510;3;1;True;False;False;False;False;False;False;False;False;True;True;True
163760;1505;654985;3896;1513051;2383595;40;7627676;4;1;False;True;False;False;False;False;False;False;False;False;True;True
422153;1501;199802;798861;2007187;2806048;20;3243614;1;1;False;False;False;False;False;False;True;False;False;True;False;True
644639;1501;1051947;1256584;2183674;3440258;46;5351908;4;3;False;True;False;False;False;False;True;False;True;False;False;True
