activo_corriente;capital_invertido;gastos_por_prestamos;deudas_corto_plazo;patrimonio_empresa;provincia;ganancia_operativa;total_activo;deudas_largo_plazo;total_pasivo_y_patrimonio;numero_empleados;ventas_netas;canal_principal;cantidad_canales_venta;publicidad;vende_por_catalogo;vende_con_comisionistas;vende_a_domicilio;vende_en_linea;vende_en_ferias;vende_en_maquinas_venta;vende_en_tienda;otros_medios_venta;vende_por_telefono;uso_de_software;sobrevive_2años
1579918;470000;353503;1840;1761968;1501;0;1763808;0;1763808;8;2803554;9;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
561314;26375;130681;362734;303084;1501;0;665818;0;665818;1;2661718;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1316904;193792;292163;164513;1741150;1501;0;1905663;0;1905663;6;4292539;7;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE
1010164;78750;1234375;567134;830587;1501;85152;1397721;0;1397721;17;3485656;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1435611;219358;574790;952092;636093;1501;60;1588185;0;1588185;6;5021393;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
2427792;14000;389837;1220357;1208531;1501;0;2428888;0;2428888;2;3883019;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1469777;5000;266260;1274430;157146;1501;5456;1471320;39744;1471320;1;2872218;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
2722248;15000;448289;2056225;700774;1501;0;2756999;0;2756999;4;2436103;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
182387;60000;424351;471304;146751;1501;0;618055;0;618055;9;3203102;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
3446838;535584;2359756;282624;3560929;1501;0;3843553;0;3843553;22;5877876;1;5;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
500500;20000;1241372;314764;663897;1501;0;978661;0;978661;0;2903427;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
547766;427700;232715;233115;14829;1501;10;800791;460772.5;800791;4;2949606;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1663825;632380;558203;1080795;691242;1501;3566;1772037;0;1772037;5;2839336;3;1;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
