activo_corriente;capital_invertido;departamento;provincia;gastos_financieros;gastos_por_prestamos;deudas_corto_plazo;patrimonio_empresa;ganancia_operativa;total_activo;deudas_largo_plazo;total_pasivo_y_patrimonio;numero_empleados;ventas_netas;canal_principal;cantidad_canales_venta;vende_por_catalogo;vende_con_comisionistas;vende_a_domicilio;vende_en_linea;vende_en_ferias;vende_en_maquinas_venta;vende_en_tienda;otros_medios_venta;vende_por_telefono;uso_de_software;sobrevive_2años
483803;1300110;14;1401;41307;261601.0;5277181;4855232.25;251353.0;10137014.5;0.0;10137014.5;6;2196658;1;1;False;False;False;False;False;False;True;False;False;True;True
2805942;1926500;14;1408;108440;45144.0;2994301;3123678.0;356997.0;6117979.0;0.0;6117979.0;18;781216;1;1;False;False;False;False;False;False;True;False;False;False;True
2443694;59707;14;1409;2;1345198.0;484474;2257749.0;727723.75;2742223.0;0.0;2742223.0;18;6366889;9;0;False;False;False;False;False;False;False;False;False;False;True
1014095;60000;14;1401;56684;0.0;1078588;-13312.0;-46062.0;1065276.0;0.0;1065276.0;9;0;1;1;False;False;False;False;False;False;True;False;False;False;False
2295983;10512;14;1401;712;877181.0;322276;2111964.0;355464.0;2434240.0;0.0;2434240.0;11;7261392;1;2;False;False;False;False;False;False;True;False;True;False;True
1758170;295000;14;1407;103264;2293705.0;1821895;1500957.0;332201.0;3322852.0;0.0;3322852.0;35;3064869;1;1;False;False;False;False;False;False;True;False;False;True;True
3330137;1373840;14;1409;108440;719690.0;0;4855232.25;727723.75;10137014.5;413218.75;10137014.5;99;6548254;1;1;False;False;False;False;False;False;True;False;False;False;True
2005460;1347731;14;1401;17511;177227.0;1679397;1414396.0;94032.0;3093793.0;0.0;3093793.0;16;2395305;1;1;False;False;False;False;False;False;True;False;False;False;True
1335123;1926500;14;1401;12283;910232.0;4024660;4855232.25;0.0;9323085.0;0.0;9323085.0;9;8591120;1;1;False;False;False;False;False;False;True;False;False;False;True
1855823;26355;14;1405;1172;788721.0;1048524;965769.0;603779.0;2014293.0;0.0;2014293.0;50;7468510;3;1;True;False;False;False;False;False;False;False;False;True;True
