activo_corriente;capital_invertido;gastos_por_prestamos;deudas_corto_plazo;patrimonio_empresa;provincia;ganancia_operativa;total_activo;deudas_largo_plazo;total_pasivo_y_patrimonio;numero_empleados;ventas_netas;canal_principal;cantidad_canales_venta;publicidad;vende_por_catalogo;vende_con_comisionistas;vende_a_domicilio;vende_en_linea;vende_en_ferias;vende_en_maquinas_venta;vende_en_tienda;otros_medios_venta;vende_por_telefono;usa_ventas_comisionistas;uso_de_software;ventas_ventas_comisionistas;sobrevive_2años
336176;1200;315180;28566;375104;1501;0;403670;0;403670;6;2555080;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2201490;907780;3202784;2325244;2138519;1501;17362;4463763;0;4463763;13;8057684;ventas_telefono;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1
773839;3000;964560;298438;550760;1501;0;849198;0;849198;2;6998990;ventas_otros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2041169;100000;1291313;168573;853041;1501;2255;2054471;1032857;2054471;13;6004540;ventas_mostrador;4;0;1;0;1;0;0;0;1;0;1;0;0;0;0
283994;14000;237966;132322;251905;1501;0;384227;0;384227;2;2585090;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1186918;258527;239117;483088;752951;1501;0;1236039;0;1236039;4;2388007;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1446582;90000;570566;1209306;435121;1501;0;1644427;0;1644427;1;6346906;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
611472;6900;288482;355037;281666;1501;20;636703;0;636703;2;2363451;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
996324;10000;441450;433223;291329;1501;0;1209775;485223;1209775;5;3861450;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1305968;20000;434333;315046;537557;1501;0;1710382;857779;1710382;1;4752081;ventas_domicilio;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
3230969;10000;2019669;3059678;525752;1501;286;3585430;0;3585430;12;6609268;ventas_catalogo;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2463656;3777052;1446685;622784;3235442;1501;14168;6314069;2455843;6314069;2;3124028;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
5763445;20000;1032067;5782944;68122;1501;978;5851066;0;5851066;8;4517342;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
