IRUC;ACTIVIDADECONOMICA;Actividad economica;Activo corriente;CIIU;Capital Suscrito;Capital pagado;Departamento;Distrito;Dividendos pagados1;Dividendos pagados2;Gastos financieros;MERCADERIAPRINCIPAL;Margen Comercial;NumMeses;Pasivo corriente;Patrimonio neto;Prestación de servicios;Provincia;Resultado de Explotacion;Total Activo;Total Pasivo no corriente;Total Pasivo y Patrimonio;Totalempleados;VENTAS;Ventas netas de mercaderías;Ventas netas de productos terminados, subproductos, desechos y desperdicios;canal_dominante;nro_canales_usados;publicidad;usa_catalogo;usa_comisionistas;usa_domicilio;usa_ecommerce;usa_ferias;usa_maquinas;usa_mostrador;usa_otros;usa_telefono;usa_total;usa_ventas_comisionistas;uso_de_software;ventas_catalogo;ventas_comisionistas;ventas_domicilio;ventas_ecommerce;ventas_ferias;ventas_maquinas;ventas_mostrador;ventas_otros;ventas_telefono;ventas_total;ventas_total_canal13;ventas_ventas_comisionistas;Año;Sobrevive_2años
167093;VENTA DE POLLOS;;1235050;4620;783858;783858;15;150199;0;0;0;POLLOS;992341;12;690100;1303314;0;1501;0;1993414;0;1993414;4;5784519;5784519;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;5784519;0;0;5784519;5784519;0;2019;0
167103;RUBRO DE VENTA DE COMBUSTIBLE;;1069050;4730;20000;20000;15;150199;0;0;0;COMBUSTIBLE GASOHOL Y DIESEL;529980;12;1023228;306473;0;1501;0;1329701;0;1329701;3;4315955;4315955;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4315955;0;0;4315955;4315955;0;2019;0
167115;VENTA  AL POR MAYOR Y MENOR DE PLASTICOS  DESCATABLES;;340961;4719;28000;28000;15;150199;;;0;PLATOS DESCARTABLES;192832;12;45811;295150;0;1501;0;340961;0;340961;1;3080372;3080372;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3080372;0;0;3080372;3080372;0;2019;0
167154;VENTA DE EQUIPOS MEDICOS ULTRASONIDO Y SERVICIOS MEDICOS DE IMAGEN Y CIRUGIA;;11142596;4690;3635808;2008308;15;150131;;;0;VENTA DE EQUIPOS MEDICOS ULTRASONIDO;1817314;12;4041079;2014854;4021472;1501;2956505;16929955;10874022;16929955;44;9167184;5145712;0;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5145712;0;5145712;5145712;0;2019;1
167157;VENTA DE MOTOCICLETAS Y MOTO TAXIS;;823866;4540;200000;2000;15;150140;0;0;0;MOTOTAXI Y MOTOCICLETA;355478;12;557085;656859;0;1501;0;1213944;0;1213944;7;7109552;7109552;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7109552;0;0;7109552;7109552;0;2019;1
167160;VENTAS AL POR MAYOR Y MENOR DE MATERIALES DE CONSTRUCCION;;498813;4663;10000;10000;15;150199;0;0;0;CEMENTO;302837;12;379918;126416;0;1501;0;588091;81757;588091;8;5005331;5005331;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5005331;0;0;5005331;5005331;0;2019;0
167174;VENTA DE COMBUSTIBLE;;385119;4730;500000;500000;15;150199;7146;0;0;COMBUSTIBLES LIQUIDOS;381344;12;138530;758053;0;1501;8038;896583;0;896583;9;4437887;4437887;0;ventas_maquinas;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4437887;0;0;0;4437887;4437887;0;2019;0
167194; ;;1151036;4630;12500;12500;15;150199;0;0;0;MANDARINA;854551;12;859195;120139;0;1501;82658;1220082;240748;1220082;3;3308970;3308970;0;ventas_telefono;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3308970;3308970;3308970;0;2019;0
167197;COMPRA Y VENTA DE MEDICAMENTOS E INSUMOS MEDICOS;;846642;4690;2000;2000;15;150199;0;0;0;MEDICAMENTOS E INSUMOS MEDICOS;401554;12;683909;208902;0;1501;48;892811;0;892811;7;2260960;2260960;0;ventas_domicilio;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2260960;0;0;0;0;0;0;2260960;2260960;0;2019;0
167208;VENTA DE ACEITES LUBRICANTES AUTOMOTRICES;;1541815;4661;52000;52000;15;150199;0;0;0;LUBRICANTES MOBIL Y CASTROL;280879;12;627381;1029349;0;1501;41300;1656730;0;1656730;9;2187203;2187203;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2187203;0;0;2187203;2187203;0;2019;0
167214;VENTA DE COMBUSTIBLES;;1024000;4661;620000;620000;15;150199;;;0;COMBUSTIBLES;622000;12;487000;1439000;0;1501;0;1926000;0;1926000;8;7916000;7916000;0;ventas_mostrador;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7916000;0;0;7916000;7916000;0;2019;0
167217;VENTA DE FERRETERIA EN GENERAL Y MATERIALES CONSTRUCCION AL POR MAYOR Y MENOR;;376315;4752;51100;51100;15;150199;0;0;0;CEMENTOS Y FIERROS;201672;12;426347;164372;0;1501;0;590719;0;590719;1;2231300;2231300;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2231300;0;0;2231300;2231300;0;2019;0
167322;FIBRA DE ALGODON;;482417;4641;5500;5500;15;150199;0;0;0;FIBRA DE ALGODON;0;12;53185;429232;0;1501;0;482417;0;482417;14;12705749;0;12705749;ventas_catalogo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019;0
167789;DISTRIBUICION COMERCIAL MINORISTA DE HELADOS DONOFRIO;DISTRIBUIDRO HELADOS;916091;4781;54370;54370;15;150122;0;0;0;HELADOS DONOFRIO;352945;12;0;687694;0;1501;70;922222;234528;922222;6;2136417;2136417;0;ventas_domicilio;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2136417;0;0;0;0;0;0;2136417;2136417;0;2019;0
