activo_corriente;capital_invertido;departamento;provincia;gastos_financieros;gastos_por_prestamos;deudas_corto_plazo;patrimonio_empresa;ganancia_operativa;total_activo;deudas_largo_plazo;total_pasivo_y_patrimonio;numero_empleados;ventas_netas;canal_principal;cantidad_canales_venta;vende_por_catalogo;vende_con_comisionistas;vende_a_domicilio;vende_en_linea;vende_en_ferias;vende_en_maquinas_venta;vende_en_tienda;otros_medios_venta;vende_por_telefono;uso_de_software;sobrevive_2años
5952119;700932;14;1401;108440;2497747.75;2143753;483161;-111016;8501937;413218.75;8501937;18;7629651;2;1;False;False;True;False;False;False;False;False;False;False;True
2735631;1926500;14;1401;108440;440038;390498;2898248;7972;3288746;0;3288746;6;2649077;6;1;False;False;False;True;False;False;False;False;False;False;True
462878;651000;14;1403;35166;1091629;465350;1316035;244060;1781385;0;1781385;17;7439008;1;1;False;False;False;False;False;False;True;False;False;False;True
6037947;1147626;14;1401;0;379009;4016;1733488;0;6201201;413218.75;6201201;4;5189831;1;1;False;False;False;False;False;False;True;False;False;False;True
5357490;429867;14;1401;58968;500866;2115460;2404203;232724;6105948;413218.75;6105948;4;7218516;1;1;False;False;False;False;False;False;True;False;False;False;True
6060387;1926500;14;1401;108440;2158900;3625534;4296704;547201;8917186;413218.75;8917186;37;8529587;9;0;False;False;False;False;False;False;False;False;False;False;True
7294788;1926500;14;1401;108440;2497747.75;5277181;4855232.25;727723.75;10137014.5;413218.75;10137014.5;54;5860152;2;1;False;False;True;False;False;False;False;False;False;False;True
1364124;1536324;14;1401;6928;327234;118706;2723884;275653;2842590;0;2842590;16;2199450;8;4;True;True;False;False;True;False;True;False;False;False;True
4782924;1926500;14;1401;0;2497747.75;2189286;4855232.25;7;7580904;257202;7580904;15;8604512;4;3;True;True;False;False;False;False;True;False;False;False;True
2056879;400000;14;1401;97599;357015;924662;1844199;151566;3745951;413218.75;3745951;100;8141962;1;3;False;False;True;False;False;False;True;False;True;True;True
4382782;52459;14;1401;0;192247;3626992;792701;64924;4419693;0;4419693;10;3565016;4;1;False;True;False;False;False;False;False;False;False;False;True
2367933;802000;14;1401;0;386116;1978882;1904820;125221;3883702;0;3883702;81;2682644;4;1;False;True;False;False;False;False;False;False;False;False;True
692079;120000;14;1401;0;769482;0;360027;0;745854;385827;745854;11;5743878;7;1;False;False;False;False;False;True;False;False;False;False;True
1602993;31000;14;1401;5412;748932;413651;1512244;200945;1925895;0;1925895;61;4312160;1;2;False;True;False;False;False;False;True;False;False;True;True
4837287;800000;14;1401;0;2030629;4024913;1095497;3377;5120410;0;5120410;11;6015747;4;3;True;True;False;False;False;False;False;False;True;False;True
7294788;1211500;14;1401;108440;999465;4835648;3414358;375185;8250006;0;8250006;44;6916950;9;0;False;False;False;False;False;False;False;False;False;False;True
3928971;300000;14;1401;61872;416095;3596482;514428;366441;4110910;0;4110910;15;6331342;1;1;False;False;False;False;False;False;True;False;False;False;True
2750488;1926500;14;1401;0;1470661;3168993;2745151;0;5914144;0;5914144;13;8581252;1;1;False;False;False;False;False;False;True;False;False;False;True
219128;16084;14;1405;0;513908;7996;232890;0;240886;0;240886;3;2436860;1;1;False;False;False;False;False;False;True;False;False;False;False
6564721;1041256;14;1401;108440;1192866;3816707;3219036;431715;7035743;0;7035743;16;7584221;2;2;False;False;True;False;False;False;True;False;False;False;True
2081026;190280;14;1402;0;856742;1083386;2562979;0;3646365;0;3646365;11;8798332;1;1;False;False;False;False;False;False;True;False;False;False;False
394696;100580;14;1403;0;97153;120259;275937;2;396196;0;396196;3;3325240;1;1;False;False;False;False;False;False;True;False;False;False;False
488113;569256;14;1401;0;491152;8316;783900;0;796425;4209;796425;1;3571633;2;1;False;False;True;False;False;False;False;False;False;False;False
798722;33000;14;1409;0;1367086;267123;870604;0;1137727;0;1137727;20;3591741;1;1;False;False;False;False;False;False;True;False;False;False;True
3068376;400000;14;1401;0;1971700;1937912;2093277;10566;4320862;289673;4320862;11;6807213;1;4;True;True;False;False;False;False;True;False;True;False;True
1131584;836530;14;1401;0;0;130989;1727999;225494;1869587;10599;1869587;9;6848052;1;1;False;False;False;False;False;False;True;False;False;False;True
2847636;460000;14;1401;58009;2497747.75;1791013;1966082;220880;3757095;0;3757095;54;7547195;1;1;False;False;False;False;False;False;True;False;False;False;True
7294788;1515000;14;1401;6369;495073;3392068;4855232.25;108382;10137014.5;413218.75;10137014.5;41;8056369;1;1;False;False;False;False;False;False;True;False;False;False;True
4604196;1926500;14;1401;108440;1150629;3348115;3135205;727723.75;6483320;0;6483320;14;4107342;1;2;False;False;False;True;False;False;True;False;False;False;False
5077881;48000;14;1409;12369;189676;5277181;111263;-48425;7691719;413218.75;7691719;34;3126247;9;0;False;False;False;False;False;False;False;False;False;True;True
2185688;963296;14;1401;108440;345735;88378;1774457;147967;2718835;413218.75;2718835;14;3352581;5;1;False;False;False;False;False;False;False;False;True;False;True
5509185;100000;14;1401;0;1302623;809248;4855232.25;2352;5861820;0;5861820;9;6855912;1;1;False;False;False;False;False;False;True;False;False;False;True
1534675;20000;14;1403;0;2497747.75;26960;1507715;493125;1534675;0;1534675;52;8177546;1;1;False;False;False;False;False;False;True;False;False;True;True
